time_first,time_last,initiator,src_ip,dst_ip,src_port,dst_port,l4_proto,duration,pkts_aggr,bytes_aggr,mean_Bpp,mean_pps,mean_Bps,pkts_ab,pkts_ba,bytes_ab,bytes_ba,mean_Bpp_ab,mean_Bpp_ba,mean_pps_ab,mean_pps_ba,mean_Bps_ab,mean_Bps_ba,mean_pkts_asm,mean_bytes_asm,tcp_flags_aggr,tcp_flags_ab,tcp_flags_ba,dga,p_type,p_name,doh_method,doh_server,file_name
1753147823.371606,1753147823.4936,A,10.0.2.100,94.140.14.14,46095,443,6,0.1219937801361084,27,3876,143.55555555555554,221.32275899538578,31772.111624670935,14,13,834,3042,59.57142857142857,234.0,114.75994910871856,106.56280988666722,6836.414111190805,24935.697513480132,0.48148148148148145,0.7848297213622291,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147826.531407,1753147826.681997,A,10.0.2.100,94.140.15.15,47977,443,6,0.1505899429321289,27,3882,143.77777777777777,179.29484183528072,25778.613926094804,14,13,834,3048,59.57142857142857,234.46153846153845,92.96769576644185,86.32714606883886,5538.218447800893,20240.39547829391,0.48148148148148145,0.7851622874806801,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147829.712375,1753147829.918327,A,10.0.2.100,94.140.14.14,41085,443,6,0.20595216751098633,28,3895,139.10714285714286,135.95389812300164,18912.15832818183,15,13,834,3061,55.6,235.46153846153845,72.83244542303659,63.12145269996504,4049.483965520834,14862.674362660999,0.4642857142857143,0.7858793324775353,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147832.946992,1753147833.066543,A,10.0.2.100,94.140.15.15,41947,443,6,0.11955118179321289,27,3892,144.14814814814815,225.8446934192735,32555.09432547454,14,13,834,3058,59.57142857142857,235.23076923076923,117.10465584703071,108.74003757224281,6976.091641173116,25579.002684301424,0.48148148148148145,0.7857142857142857,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147836.105489,1753147836.270465,A,10.0.2.100,94.140.15.15,37819,443,6,0.16497588157653809,27,3881,143.74074074074073,163.6602862308316,23524.650772661385,14,13,834,3047,59.57142857142857,234.3846153846154,84.8608891567275,78.7993970741041,5055.2843969079095,18469.366375753478,0.48148148148148145,0.7851069312032981,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147839.303911,1753147839.50564,A,10.0.2.100,94.140.14.14,35591,443,6,0.20172905921936035,28,3922,140.07142857142858,138.80003261975645,19441.918854810174,15,13,834,3088,55.6,237.53846153846155,74.35716033201238,64.44287228774407,4134.258114459889,15307.660740350284,0.4642857142857143,0.787353391126976,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147842.535617,1753147842.708049,A,10.0.2.100,94.140.15.15,34197,443,6,0.17243194580078125,27,3907,144.7037037037037,156.58351400380513,22658.214415291357,14,13,834,3073,59.57142857142857,236.3846153846154,81.19145170567674,75.39206229812841,4836.690765895314,17821.523649396044,0.48148148148148145,0.7865369848988994,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147845.739121,1753147845.912034,A,10.0.2.100,94.140.15.15,40093,443,6,0.1729130744934082,27,3882,143.77777777777777,156.1478221302999,22450.58687073423,14,13,834,3048,59.57142857142857,234.46153846153845,80.96553740089624,75.18228472940365,4823.232728024819,17627.35414270941,0.48148148148148145,0.7851622874806801,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147848.936891,1753147849.087987,A,10.0.2.100,94.140.15.15,36669,443,6,0.15109586715698242,27,3911,144.85185185185185,178.6944971297468,25884.22882497925,14,13,834,3077,59.57142857142857,236.69230769230768,92.65640591912798,86.03809121061883,5519.674466896624,20364.554358082627,0.48148148148148145,0.7867553055484531,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147852.112622,1753147852.298996,A,10.0.2.100,94.140.15.15,54117,443,6,0.18637394905090332,28,3916,139.85714285714286,150.23558894678197,21011.52022555708,15,13,834,3082,55.6,237.07692307692307,80.48335122149035,69.75223772529164,4474.874327914864,16536.64589764222,0.4642857142857143,0.7870275791624106,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147855.330101,1753147855.496561,A,10.0.2.100,94.140.15.15,47521,443,6,0.1664600372314453,28,3876,138.42857142857142,168.208541014976,23284.868034787392,15,13,834,3042,55.6,234.0,90.11171840088,78.096822614096,5010.211543088928,18274.656491698464,0.4642857142857143,0.7848297213622291,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147858.534793,1753147858.914624,A,10.0.2.100,94.140.14.14,35247,443,6,0.37983107566833496,28,3914,139.78571428571428,73.71698050437912,10304.580774790711,15,13,834,3080,55.6,236.92307692307693,39.49123955591739,34.225740948461734,2195.712919309007,8108.867855481703,0.4642857142857143,0.7869187531936638,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147861.94969,1753147862.207109,A,10.0.2.100,94.140.14.14,57707,443,6,0.2574188709259033,28,3880,138.57142857142858,108.7721343011393,15072.710038872161,15,13,834,3046,55.6,234.30769230769232,58.2707862327532,50.50134806838611,3239.8557145410778,11832.854324331083,0.4642857142857143,0.7850515463917526,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147865.244992,1753147865.416718,A,10.0.2.100,94.140.14.14,41293,443,6,0.17172598838806152,28,3904,139.42857142857142,163.0504518438199,22733.891571366887,15,13,834,3070,55.6,236.15384615384616,87.34845634490351,75.70199549891638,4856.574172776635,17877.317398590254,0.4642857142857143,0.7863729508196722,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
1753147868.455562,1753147868.578524,A,10.0.2.100,94.140.15.15,47301,443,6,0.12296199798583984,27,3881,143.74074074074073,219.58003645247607,31562.59709155776,14,13,834,3047,59.57142857142857,234.3846153846154,113.85631519758017,105.72372125489588,6782.583348198705,24780.013743359057,0.48148148148148145,0.7851069312032981,SYN_RST_PSH_FIN_ACK,SYN_RST_PSH_FIN_ACK,SYN_PSH_ACK,pitou,pitou_1,kdig,POST,adguard,pitou_0_adguard_kdig_1
