%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l7BytesSnt	minL7PktSz	maxL7PktSz	avgL7PktSz	stdL7PktSz	varL7PktSz	skewL7PktSz	kurL7PktSz	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	49	0x0800000000008000	1750528930.651749000	1750528930.651749000	0.000000000	fd00::c409:e6ff:fe88:b284	36274	2606:4700:4400::ac40:9b77	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	50	0x0800000000008000	1750528930.651830000	1750528930.651830000	0.000000000	fd00::c409:e6ff:fe88:b284	36408	2606:4700:4400::6812:2089	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	37	0x0400000000004000	1750528929.594913000	1750528930.825375000	1.230462000	10.0.2.100	46852	142.250.199.219	443	6	258	2672	0	1460	10.35659	113.5764	12899.59	7.580598	107.8854	209.6774	2171.542	-0.3165563	-0.9921225	0x1001	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x041e	0x0000	0_1_1_7_257_0_0_0_0_0_1_0_0_0_0_0	1	5	0x0000011e	1460	0
B	37	0x0400000000004001	1750528929.656769000	1750528930.824678000	1.167909000	142.250.199.219	443	10.0.2.100	46852	6	497	675711	0	1440	1359.579	210.3159	44232.77	1.568888	13.77351	425.5468	578564.8	0.3165563	0.9921225	0x1001	1	78	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_342_497_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	21	0x0400000000004000	1750528927.676882000	1750528930.873637000	3.196755000	10.0.2.100	42966	141.193.213.10	443	6	14	2516	0	1460	179.7143	452.5296	204783	2.245685	7.878571	4.379441	787.0482	0	-0.3312957	0x1001	16529	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_6_13_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	21	0x0400000000004001	1750528927.725593000	1750528930.873628000	3.148035000	141.193.213.10	443	10.0.2.100	42966	6	14	5009	0	1440	357.7857	625.4488	391186.2	1.348416	3.180559	4.447218	1591.151	0	0.3312957	0x1001	1	1484	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_3_14_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	22	0x0400000000004000	1750528928.460947000	1750528930.875498000	2.414551000	10.0.2.100	42974	141.193.213.10	443	6	315	25154	0	1460	79.85397	287.3154	82550.14	4.503849	22.32555	130.459	10417.67	-0.3636364	-0.9394211	0x1001	45488	1	64	64	0	0x00	0x4044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_66_314_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	22	0x0400000000004001	1750528928.511721000	1750528930.875490000	2.363769000	141.193.213.10	443	10.0.2.100	42974	6	675	805300	0	1440	1193.037	514.8293	265049.2	-0.5213378	2.524886	285.5609	340684.7	0.3636364	0.9394211	0x1001	1	293	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_198_675_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	32	0x0400000000004000	1750528929.553428000	1750528930.875531000	1.322103000	10.0.2.100	41038	142.250.197.40	443	6	70	2347	0	1460	33.52857	210.8915	44475.21	4.404479	33.33155	52.94595	1775.202	-0.2783505	-0.9706537	0x1001	12956	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_6_69_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	32	0x0400000000004001	1750528929.600447000	1750528930.875527000	1.275080000	142.250.197.40	443	10.0.2.100	41038	6	124	157605	0	1440	1271.008	408.6393	166986.1	-0.008271223	5.812377	97.2488	123604	0.2783505	0.9706537	0x1001	1	578	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_74_124_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
