%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l3BytesSnt	minL3PktSz	maxL3PktSz	avgL3PktSz	stdL3PktSz	varL3PktSz	skewL3PktSz	kurL3PktSz	minIAT	maxIAT	avgIAT	stdIAT	varIAT	skewIAT	kurIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	17	0x0400000000004000	1736196055.762680000	1736196055.762680000	0.000000000	10.0.2.100	55272	198.54.117.206	443	6	1	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0x1001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	17	0x0400000000004001	1736196056.021177000	1736196056.021177000	0.000000000	198.54.117.206	443	10.0.2.100	55272	6	1	40	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.2	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0414	0x0000	0_0_1_0_1_0_0_0_0_0_1_0_0_0_0_0	0	0	0x00000000	0	0
A	18	0x0400000000004000	1736196056.021394000	1736196056.021394000	0.000000000	10.0.2.100	55282	198.54.117.206	443	6	1	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0x1001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	18	0x0400000000004001	1736196056.279368000	1736196056.279368000	0.000000000	198.54.117.206	443	10.0.2.100	55282	6	1	40	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.2	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0414	0x0000	0_0_1_0_1_0_0_0_0_0_1_0_0_0_0_0	0	0	0x00000000	0	0
A	19	0x0800000000008000	1736196056.225866000	1736196056.225866000	0.000000000	fd00::40da:8bff:fefd:c741	35606	2600:1901:0:92a9::	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	21	0x0400000000004000	1736196056.324635000	1736196056.537277000	0.212642000	10.0.2.100	42252	34.160.144.191	443	6	12	962	40	256	80.16666	76.90453	5914.306	1.523091	4.577805	0	0.067451	0.01772017	0.02556575	0.0006536074	1.366982	3.032269	56.43288	4524.036	0.04347826	-0.6014087	0x1001	36213	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_10_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	21	0x0400000000004001	1736196056.354171000	1736196056.537267000	0.183096000	34.160.144.191	443	10.0.2.100	42252	6	11	3865	40	1480	351.3636	629.9791	396873.6	1.146305	3.170983	0	0.095086	0.01664509	0.02985186	0.0008911333	2.307992	6.609912	60.07777	21109.14	-0.04347826	0.6014087	0x1001	1	11	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_3_11_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	12	0x0400000000004000	1736196053.172671000	1736196057.012629000	3.839958000	10.0.2.100	60038	149.112.112.112	443	6	26	4620	40	1500	177.6923	336.197	113028.4	2.821174	13.59692	0	2.040003	0.1476907	0.437538	0.1914395	3.97002	17.77299	6.770907	1203.138	0.04	-0.186906	0x1001	12521	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_13_24_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	12	0x0400000000004001	1736196053.201536000	1736196057.012627000	3.811091000	149.112.112.112	443	10.0.2.100	60038	6	24	6744	40	1480	281	469.4877	220418.7	1.400132	5.157873	0	2.081473	0.1587955	0.4640768	0.2153673	3.820586	16.55109	6.29741	1769.572	-0.04	0.186906	0x1001	1	255	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_7_24_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	14	0x0400000000004000	1736196053.396395000	1736196057.021226000	3.624831000	10.0.2.100	60944	34.149.100.209	443	6	152	8004	40	303	52.65789	43.53249	1895.078	1.331836	8.623595	0	1.636552	0.02384757	0.1650499	0.02724148	7.601396	69.37247	41.93299	2208.103	-0.2830189	-0.9549402	0x1001	39732	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_17_151_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	14	0x0400000000004001	1736196053.433330000	1736196057.021220000	3.587890000	34.149.100.209	443	10.0.2.100	60944	6	272	347257	40	1480	1276.68	441.9871	195352.6	0.7397506	3.562917	0	1.679402	0.01319077	0.1273335	0.01621382	10.0397	122.7448	75.81058	96785.86	0.2830189	0.9549402	0x1001	1	52	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_207_272_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	20	0x0400000000004000	1736196056.225978000	1736196057.024480000	0.798502000	10.0.2.100	42248	34.160.144.191	443	6	28	2128	40	286	76	70.33485	4946.991	1.547548	5.156105	0	0.429712	0.02851793	0.08277252	0.00685129	4.574012	22.84137	35.06566	2664.99	-0.03448276	-0.766308	0x1001	39825	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_10_27_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	20	0x0400000000004001	1736196056.267168000	1736196057.024475000	0.757307000	34.160.144.191	443	10.0.2.100	42248	6	30	16084	40	1480	536.1334	649.822	422268.6	0.8591216	2.088737	0	0.429701	0.02524357	0.07930399	0.006289123	4.927173	25.91812	39.61406	21238.41	0.03448276	0.766308	0x1001	1	11	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_14_30_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	22	0x0400000000004000	1736196056.997080000	1736196057.058461000	0.061381000	10.0.2.100	42264	34.160.144.191	443	6	5	436	40	256	87.2	102.4748	10501.09	1.494589	3.357831	0	0.02996102	0.0122762	0.01630136	0.0002657344	1.221382	2.539389	81.45843	7103.175	0.1111111	-0.564	0x1001	24355	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_1_3_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	22	0x0400000000004001	1736196057.027036000	1736196057.058421000	0.031385000	34.160.144.191	443	10.0.2.100	42264	6	4	1564	40	1440	391	699.3369	489072.1	1.999969	3.999918	0	0.023592	0.00784625	0.01117661	0.0001249166	1.737916	3.168071	127.4494	49832.72	-0.1111111	0.564	0x1001	1	1	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_1_4_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
