%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l3BytesSnt	minL3PktSz	maxL3PktSz	avgL3PktSz	stdL3PktSz	varL3PktSz	skewL3PktSz	kurL3PktSz	minIAT	maxIAT	avgIAT	stdIAT	varIAT	skewIAT	kurIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	27	0x0800000000008000	1736195897.331763000	1736195897.331763000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	58678	2a00:1148:1000:101:5:4:0:201	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	28	0x0800000000008000	1736195897.331854000	1736195897.331854000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	58688	2a00:1148:1000:101:5:4:0:201	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	38	0x0800000000008000	1736195897.430841000	1736195897.430841000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	56932	2a00:1148:db00::17	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	39	0x0800000000008000	1736195897.430879000	1736195897.430879000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	56936	2a00:1148:db00::17	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	45	0x0800000000008000	1736195897.703660000	1736195897.703660000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	56948	2a00:1148:db00::17	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	47	0x0800000000008000	1736195897.703867000	1736195897.703867000	0.000000000	fd00::f4ef:b1ff:fe52:fa00	56962	2a00:1148:db00::17	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	29	0x0400000000004000	1736195897.332599000	1736195898.171852000	0.839253000	10.0.2.100	47668	94.100.180.211	443	6	13	2683	40	1500	206.3846	463.7595	215072.9	2.163388	7.508561	0	0.21051	0.06455792	0.1047298	0.01096834	1.027535	2.306579	15.48997	3196.891	0.04	-0.3108143	0x1001	44263	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_11_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	29	0x0400000000004001	1736195897.543080000	1736195898.171829000	0.628749000	94.100.180.211	443	10.0.2.100	47668	6	12	5103	40	1480	425.25	666.7375	444538.8	1.038413	2.582303	0	0.21014	0.05239575	0.09036385	0.008165624	1.826344	3.993973	19.08552	8116.116	-0.04	0.3108143	0x1001	1	79	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_5_12_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	30	0x0400000000004000	1736195897.332803000	1736195898.228244000	0.895441000	10.0.2.100	47672	94.100.180.211	443	6	13	2683	40	1500	206.3846	463.7047	215022.1	2.165633	7.510395	0	0.25566	0.06888008	0.1155983	0.01336296	1.043225	2.135018	14.51799	2996.289	0	-0.3143368	0x1001	7899	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_11_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	30	0x0400000000004001	1736195897.544522000	1736195898.228238000	0.683716000	94.100.180.211	443	10.0.2.100	47672	6	13	5143	40	1480	395.6154	647.287	418980.5	1.060637	2.703858	0	0.209619	0.05259354	0.09293588	0.008637077	1.737309	3.663356	19.01374	7522.129	0	0.3143368	0x1001	1	78	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_5_13_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
