%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l7BytesSnt	minL7PktSz	maxL7PktSz	avgL7PktSz	stdL7PktSz	varL7PktSz	skewL7PktSz	kurL7PktSz	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
B	32	0x0400000000004001	1736194943.388901000	1736194944.147537000	0.758636000	142.250.197.4	443	10.0.2.100	59486	6	13	5835	0	1440	448.8462	666.7657	444576.6	0.9256575	2.554036	17.13602	7691.436	-0.03703704	0.4710702	0x1001	1	92	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_3_13_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	33	0x0400000000004000	1736194943.358063000	1736194944.151607000	0.793544000	10.0.2.100	59502	142.250.197.4	443	6	14	2098	0	1460	149.8571	450.596	203036.8	2.241299	8.031488	17.64237	2643.836	0.07692308	-0.4711369	0x1001	61071	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_4_13_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	33	0x0400000000004001	1736194943.389254000	1736194944.151602000	0.762348000	142.250.197.4	443	10.0.2.100	59502	6	12	5836	0	1440	486.3333	679.3885	461568.7	0.9783309	2.545159	15.74084	7655.296	-0.07692308	0.4711369	0x1001	1	101	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_3_12_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	38	0x0800000000008000	1736194944.365448000	1736194944.365448000	0.000000000	fd00::58c1:98ff:fe26:e65c	37004	2404:6800:4005:813::200e	443	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	34	0x0400000000004000	1736194943.358121000	1736194945.486735000	2.128614000	10.0.2.100	59510	142.250.197.4	443	6	67	3086	0	1460	46.0597	218.4285	47711	4.076888	30.41741	31.47588	1449.77	-0.2342857	-0.949457	0x1001	8257	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_14_66_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	34	0x0400000000004001	1736194943.396562000	1736194945.486730000	2.090168000	142.250.197.4	443	10.0.2.100	59510	6	108	119028	0	1440	1102.111	566.6559	321099	-0.1198106	2.608809	51.67049	56946.62	0.2342857	0.949457	0x1001	1	198	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_83_108_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	6	0x0400000000004000	1736194939.189397000	1736194945.487079000	6.297682000	10.0.2.100	36320	34.149.100.209	443	6	152	2352	0	517	15.47368	62.0037	3844.458	3.588796	33.35986	24.13587	373.4708	-0.2813239	-0.9861203	0x1001	29466	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_21_151_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	6	0x0400000000004001	1736194939.220519000	1736194945.487076000	6.266557000	34.149.100.209	443	10.0.2.100	36320	6	271	336561	0	1440	1241.922	438.7123	192468.5	-0.7587993	5.522363	43.24544	53707.48	0.2813239	0.9861203	0x1001	1	646	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_177_271_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	18	0x0400000000004000	1736194942.652489000	1736194945.489591000	2.837102000	10.0.2.100	42246	142.250.199.232	443	6	58	2466	0	1460	42.51724	232.8987	54241.79	3.868908	27.20122	20.4434	869.1968	-0.2418301	-0.957113	0x1001	30299	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_8_57_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	18	0x0400000000004001	1736194942.682313000	1736194945.489587000	2.807274000	142.250.199.232	443	10.0.2.100	42246	6	95	112534	0	1440	1184.568	510.2172	260321.6	-0.03837691	3.469505	33.84066	40086.57	0.2418301	0.957113	0x1001	1	1116	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_56_95_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	5	0x0400000000004000	1736194939.027734000	1736194945.490179000	6.462445000	10.0.2.100	47718	104.16.249.249	443	6	155	12010	0	1460	77.48387	165.9448	27537.66	3.807238	40.8044	23.98473	1858.43	-0.03125	-0.3699672	0x1001	35668	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_93_154_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
