%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l3BytesSnt	minL3PktSz	maxL3PktSz	avgL3PktSz	stdL3PktSz	varL3PktSz	skewL3PktSz	kurL3PktSz	minIAT	maxIAT	avgIAT	stdIAT	varIAT	skewIAT	kurIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
B	34	0x0400000000004001	1736194943.396562000	1736194945.486730000	2.090168000	142.250.197.4	443	10.0.2.100	59510	6	108	123352	40	1480	1142.148	566.5714	321003.1	-0.1211444	2.608252	0	1.112213	0.01935341	0.1253555	0.01571399	7.51959	61.722	51.67049	59015.35	0.2342857	0.9103904	0x1001	1	198	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_83_108_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	6	0x0400000000004000	1736194939.189397000	1736194945.487079000	6.297682000	10.0.2.100	36320	34.149.100.209	443	6	152	8452	40	557	55.60526	61.8689	3827.761	3.346931	31.31226	0	2.344221	0.04143211	0.2564283	0.06575547	7.945461	67.0995	24.13587	1342.081	-0.2813239	-0.9524978	0x1001	29466	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_21_151_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	6	0x0400000000004001	1736194939.220519000	1736194945.487076000	6.266557000	34.149.100.209	443	10.0.2.100	36320	6	271	347405	40	1480	1281.937	438.6675	192429.2	-0.7597682	5.52319	0	2.344232	0.02312383	0.1943437	0.03776948	10.63814	119.5432	43.24544	55437.94	0.2813239	0.9524978	0x1001	1	646	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_177_271_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	18	0x0400000000004000	1736194942.652489000	1736194945.489591000	2.837102000	10.0.2.100	42246	142.250.199.232	443	6	58	4806	40	1500	82.86207	232.5963	54101.06	3.785022	26.64155	0	2.01577	0.04891555	0.2755075	0.07590435	6.778558	48.36755	20.4434	1693.982	-0.2418301	-0.9206564	0x1001	30299	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_8_57_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	18	0x0400000000004001	1736194942.682313000	1736194945.489587000	2.807274000	142.250.199.232	443	10.0.2.100	42246	6	95	116338	40	1480	1224.61	510.1021	260204.2	-0.04026828	3.469022	0	2.015814	0.02955025	0.2160158	0.04666283	8.668431	79.12783	33.84066	41441.62	0.2418301	0.9206564	0x1001	1	1116	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_56_95_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	5	0x0400000000004000	1736194939.027734000	1736194945.490179000	6.462445000	10.0.2.100	47718	104.16.249.249	443	6	155	18230	40	1500	117.6129	165.7361	27468.45	3.708338	39.99833	0	1.994275	0.0416932	0.1905547	0.0363111	7.834588	77.74607	23.98473	2820.914	-0.03125	-0.2843824	0x1001	35668	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_93_154_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	5	0x0400000000004001	1736194939.058181000	1736194945.490176000	6.431995000	104.16.249.249	443	10.0.2.100	47718	6	165	32719	40	1480	198.297	264.4665	69942.52	1.855128	7.448722	0	1.994363	0.03898179	0.1859161	0.03456479	8.00757	81.14106	25.65301	5086.913	0.03125	0.2843824	0x1001	1	1089	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_67_165_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	22	0x0400000000004000	1736194942.763521000	1736194945.490372000	2.726851000	10.0.2.100	50288	142.250.198.110	443	6	45	4391	40	1500	97.57777	262.0234	68656.25	3.42089	21.31254	0	1.083451	0.06059669	0.2228424	0.04965873	4.141616	18.35819	16.50255	1610.282	-0.1964286	-0.8813211	0x1001	46290	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_10_44_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	22	0x0400000000004001	1736194942.793869000	1736194945.490369000	2.696500000	142.250.198.110	443	10.0.2.100	50288	6	67	69607	40	1480	1038.91	618.3636	382373.5	0.2042534	1.946625	0	1.081428	0.04024627	0.184368	0.03399156	5.03121	27.18983	24.84702	25813.83	0.1964286	0.8813211	0x1001	1	319	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_47_67_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	16	0x0400000000004000	1736194942.650800000	1736194945.490708000	2.839908000	10.0.2.100	36812	142.250.197.163	443	6	55	5147	40	1500	93.58182	241.0768	58118	3.597422	24.34228	0	1.311624	0.05163469	0.2159871	0.04665045	4.407254	23.51569	19.36683	1812.383	-0.2253521	-0.9063662	0x1001	25655	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_12_54_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
