%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l3BytesSnt	minL3PktSz	maxL3PktSz	avgL3PktSz	stdL3PktSz	varL3PktSz	skewL3PktSz	kurL3PktSz	minIAT	maxIAT	avgIAT	stdIAT	varIAT	skewIAT	kurIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	43	0x0800000000008000	1736194479.984744000	1736194479.984744000	0.000000000	fd00::48f:b5ff:fed5:c28	35002	2001:4860:4802:38::181	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	44	0x0800000000008000	1736194479.984829000	1736194479.984829000	0.000000000	fd00::48f:b5ff:fed5:c28	49020	2001:4860:4802:34::181	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	46	0x0800000000008000	1736194480.110239000	1736194480.110239000	0.000000000	fd00::48f:b5ff:fed5:c28	50810	2a03:2880:f34c:80:face:b00c:0:3	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	48	0x0800000000008000	1736194480.916344000	1736194480.916344000	0.000000000	fd00::48f:b5ff:fed5:c28	35580	2a03:2880:f34c:1:face:b00c:0:25de	443	6	1	80	80	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0x1001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0002	0x0000	0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	1	5	0x0000011e	1440	0
A	5	0x0400000000004000	1736194474.021319000	1736194481.144592000	7.123273000	10.0.2.100	34580	94.140.15.15	443	6	242	30740	40	1500	127.0248	131.5862	17314.94	4.853642	63.01445	0	1.139153	0.02943501	0.1031929	0.01064878	6.157207	55.20899	33.97315	4315.432	-0.03393213	-0.01779723	0x1001	49145	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_178_240_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	5	0x0400000000004001	1736194474.057359000	1736194481.144590000	7.087231000	94.140.15.15	443	10.0.2.100	34580	6	259	31854	40	838	122.9884	145.254	21098.71	1.920854	6.94321	0	1.139234	0.02736382	0.1004337	0.01008693	6.352787	58.29923	36.5446	4494.562	0.03393213	0.01779723	0x1001	1	1063	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_82_259_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	47	0x0400000000004000	1736194480.110607000	1736194481.144775000	1.034168000	10.0.2.100	57444	57.144.152.128	443	6	47	5004	40	1500	106.4681	273.1751	74624.62	3.143782	17.82557	0	0.620596	0.02200357	0.09065229	0.008217839	6.54677	44.14077	45.44716	4838.672	-0.2357724	-0.8898768	0x1001	27747	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_8_45_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	47	0x0400000000004001	1736194480.146325000	1736194481.144773000	0.998448000	57.144.152.128	443	10.0.2.100	57444	6	76	85876	40	1480	1129.947	559.6205	313175.1	0.09060352	2.884073	0	0.662584	0.01313747	0.07636642	0.00583183	8.440231	72.70718	76.11813	86009.48	0.2357724	0.8898768	0x1001	1	45	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_36_76_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	9	0x0400000000004000	1736194474.423755000	1736194481.145779000	6.722024000	10.0.2.100	36038	34.160.144.191	443	6	28	2245	40	286	80.17857	71.75267	5148.446	1.504218	4.813971	0	3.104807	0.2400723	0.8082915	0.6533352	3.652171	13.57349	4.165412	333.9768	-0.01754386	-0.7538782	0x1001	21959	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x0000	1_1_0_11_27_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	9	0x0400000000004001	1736194474.453956000	1736194481.145777000	6.691821000	34.160.144.191	443	10.0.2.100	36038	6	29	15998	40	1480	551.6552	683.6412	467365.3	0.8089722	1.916748	0	3.111368	0.2307525	0.8016554	0.6426514	3.718841	14.06894	4.333648	2390.68	0.01754386	0.7538782	0x1001	1	2945	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	1_1_0_10_29_0_0_0_1_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
