%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l7BytesSnt	minL7PktSz	maxL7PktSz	avgL7PktSz	stdL7PktSz	varL7PktSz	skewL7PktSz	kurL7PktSz	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	8	0x0400100000004000	1789844148.873306000	1789844148.928441000	0.055135000	192.168.64.3	51847	1.1.1.1	443	6	8	0	0	0	0	0	0	0	0	145.0984	0	0.3333333	0	0x1001	0	2	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_8_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
B	8	0x0400100000004001	1789844148.928326000	1789844148.928356000	0.000030000	1.1.1.1	443	192.168.64.3	51847	6	4	0	0	0	0	0	0	0	0	133333.3	0	-0.3333333	0	0x1001	0	0	49	49	0	0x40	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_4_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
A	9	0x0400100000004000	1789844148.874556000	1789844298.050836000	149.176280000	192.168.64.3	54825	1.1.1.1	443	6	2392	76620	0	739	32.03177	39.8804	1590.446	6.348831	115.5046	16.03472	513.6205	0.02660944	-0.3515792	0x5201	0	2	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x001a	0x1000	0_4_0_1480_2388_0_0_0_0_0_0_0_0_0_0_0	20	72	0x0000003e	1460	256
B	9	0x0400100000004001	1789844148.940036000	1789844298.050802000	149.110766000	1.1.1.1	443	192.168.64.3	54825	6	2268	159708	0	560	70.41799	41.69346	1738.345	2.061785	24.75943	15.21017	1071.07	-0.02660944	0.3515792	0x1201	1	26039	50	50	0	0x48	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_4_0_2160_2268_0_0_0_0_4_0_0_0_0_0_0	4	24	0x0000001e	1452	8192
A	10	0x0400100000004000	1789844369.646277000	1789844369.718378000	0.072101000	192.168.64.3	54825	1.1.1.1	443	6	8	0	0	0	0	0	0	0	0	110.9555	0	0.3333333	0	0x1001	0	1	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_8_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
B	10	0x0400100000004001	1789844369.718236000	1789844369.718273000	0.000037000	1.1.1.1	443	192.168.64.3	54825	6	4	0	0	0	0	0	0	0	0	108108.1	0	-0.3333333	0	0x1001	0	0	50	50	0	0x48	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_4_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
A	11	0x0400100000004000	1789844379.109113000	1789844531.850954000	152.741841000	192.168.64.3	54839	1.1.1.1	443	6	2724	85148	0	739	31.25844	38.6074	1490.531	6.13084	115.566	17.83401	557.4635	0.03495441	-0.3575675	0x5201	0	1	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x001a	0x1000	0_4_0_1648_2720_0_0_0_0_0_0_0_0_0_0_0	28	96	0x0000003e	1460	256
B	11	0x0400100000004001	1789844379.175578000	1789844531.850897000	152.675319000	1.1.1.1	443	192.168.64.3	54839	6	2540	179932	0	560	70.83937	44.39502	1970.918	2.112471	21.37353	16.63661	1178.527	-0.03495441	0.3575675	0x1201	1	44236	49	49	0	0x40	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_4_0_2380_2540_0_0_0_0_4_0_0_0_0_0_0	4	24	0x0000001e	1452	8192
A	12	0x0400100000004000	1789844605.832413000	1789844605.900016000	0.067603000	192.168.64.3	54839	1.1.1.1	443	6	8	0	0	0	0	0	0	0	0	118.3379	0	0.3333333	0	0x1001	0	7	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_8_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
B	12	0x0400100000004001	1789844605.899893000	1789844605.899923000	0.000030000	1.1.1.1	443	192.168.64.3	54839	6	4	0	0	0	0	0	0	0	0	133333.3	0	-0.3333333	0	0x1001	0	0	49	49	0	0x40	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_4_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
