%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l7BytesSnt	minL7PktSz	maxL7PktSz	avgL7PktSz	stdL7PktSz	varL7PktSz	skewL7PktSz	kurL7PktSz	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	13	0x0400100000004000	1789909801.801893000	1789909950.926563000	149.124670000	192.168.64.3	55923	8.8.8.8	443	6	3060	106872	0	775	34.92549	35.89357	1288.348	7.839632	166.3812	20.51974	716.6621	-0.266187	-0.3139908	0x5201	0	2	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x001a	0x1000	0_4_0_2248_3056_0_0_0_0_0_0_0_0_0_0_0	56	180	0x0000003e	1460	256
B	13	0x0400100000004001	1789909801.860988000	1789909950.984255000	149.123267000	8.8.8.8	443	192.168.64.3	55923	6	5280	204704	0	648	38.7697	47.14526	2222.675	1.7312	15.49778	35.40695	1372.717	0.266187	0.3139908	0x1201	0	42810	117	117	0	0x48	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_4_0_3040_5280_0_0_0_0_4_0_0_0_0_0_0	4	24	0x0000001e	1412	256
A	14	0x0400100000004000	1789910032.005035000	1789910032.059857000	0.054822000	192.168.64.3	55923	8.8.8.8	443	6	8	0	0	0	0	0	0	0	0	145.9268	0	0.3333333	0	0x1001	0	2	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_8_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
B	14	0x0400100000004001	1789910032.059369000	1789910032.059433000	0.000064000	8.8.8.8	443	192.168.64.3	55923	6	4	0	0	0	0	0	0	0	0	62500	0	-0.3333333	0	0x1001	0	0	115	115	0	0x48	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_4_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
A	15	0x0400100000004000	1789910032.007136000	1789910181.514286000	149.507150000	192.168.64.3	55924	8.8.8.8	443	6	3268	114072	0	775	34.90575	35.23991	1241.851	7.741389	167.7031	21.85849	762.9869	-0.2321429	-0.324186	0x5201	0	2	128	128	0	0x00	0x4044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x001a	0x1000	0_4_0_2400_3264_0_0_0_0_0_0_0_0_0_0_0	80	252	0x0000003e	1460	256
B	15	0x0400100000004001	1789910032.060346000	1789910181.567934000	149.507588000	8.8.8.8	443	192.168.64.3	55924	6	5244	223512	0	648	42.62243	50.47345	2547.569	1.258671	11.59311	35.07515	1494.988	0.2321429	0.324186	0x1201	0	52077	117	117	0	0x48	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_4_0_2852_5244_0_0_0_0_4_0_0_0_0_0_0	4	24	0x0000001e	1412	256
A	16	0x0400100000004000	1789910262.152828000	1789910262.211665000	0.058837000	192.168.64.3	55924	8.8.8.8	443	6	8	0	0	0	0	0	0	0	0	135.9689	0	0.3333333	0	0x1001	0	2	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_8_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
B	16	0x0400100000004001	1789910262.211061000	1789910262.211194000	0.000133000	8.8.8.8	443	192.168.64.3	55924	6	4	0	0	0	0	0	0	0	0	30075.19	0	-0.3333333	0	0x1001	0	0	117	117	0	0x48	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_4_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
A	17	0x0400100000004000	1789910262.158389000	1789910417.040785000	154.882396000	192.168.64.3	55926	8.8.8.8	443	6	3308	117896	0	775	35.63966	35.34164	1249.032	7.585198	163.8025	21.35814	761.1969	-0.2616071	-0.3696277	0x5201	0	2	128	128	0	0x00	0x4044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x001a	0x1000	0_4_0_2452_3304_0_0_0_0_0_0_0_0_0_0_0	12	48	0x0000003e	1460	256
B	17	0x0400100000004001	1789910262.230032000	1789910417.176509000	154.946477000	8.8.8.8	443	192.168.64.3	55926	6	5652	256156	0	648	45.3213	55.66429	3098.513	1.305771	8.455244	36.47711	1653.19	0.2616071	0.3696277	0x1201	0	30152	114	114	0	0x60	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_4_0_3208_5652_0_0_0_0_4_0_0_0_0_0_0	4	24	0x0000001e	1412	256
